index,GUID,Name,HallOfFameStatus,HallofFameClass,YearDrafted,TO_YEAR,Years_Played,HOF_Elgibility_Year,Pick,Team,College,GP,MIN,PTS,FGM,FGA,FG%,3P_Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,idPlayer,numberRound,BIRTHDATE,POSITION,AGE_ROOKIE_SEASON,Draft_Decade,numBallotsBeforeInduct,ML_Prediction,ConfusionMatrix
0,MITCHMCGARY2014,Mitch McGary,Not Inducted,,2014,2015,2,2020,21,OKC,University of Michigan,32,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1,9,203956,1,1992-06-06 00:00:00,Forward,22.36,2010s,,0,True Negative
1,PJHAIRSTON2014,PJ Hairston,Not Inducted,,2014,2015,2,2020,26,MIA,University of North Carolina,45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,4.3,203798,1,1992-12-24 00:00:00,Forward,21.81,2010s,,0,True Negative
2,KJMCDANIELS2014,KJ McDaniels,Not Inducted,,2014,2016,3,2021,32,PHI,Clemson University,62,21.8,7.9,2.8,7,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1,2.2,3.2,1.2,0.7,1.1,1.7,7.6,203909,2,1993-02-09 00:00:00,Guard,21.68,2010s,,0,True Negative
3,CLEANTHONYEARLY2014,Cleanthony Early,Not Inducted,,2014,2015,2,2020,34,NYK,Wichita State University,39,16.6,5.4,1.9,5.5,35.5,0.6,2.2,26.2,0.9,1.2,75,0.6,1.9,2.5,0.9,0.6,0.3,1,4.8,203921,2,1991-04-17 00:00:00,Forward,23.5,2010s,,0,True Negative
4,CORYJEFFERSON2014,Cory Jefferson,Not Inducted,,2014,2015,2,2020,60,SAS,Baylor University,50,10.6,3.7,1.5,3.3,44.9,0,0.3,13.3,0.6,1.1,57.4,0.9,2,2.9,0.3,0.2,0.4,0.4,4.8,203928,2,1990-12-26 00:00:00,Forward,23.8,2010s,,0,True Negative
5,ANTHONYBENNETT2013,Anthony Bennett,Not Inducted,,2013,2016,4,2021,1,CLE,"University of Nevada, Las Vegas",52,12.8,4.2,1.5,4.3,35.6,0.3,1,24.5,0.8,1.3,63.8,0.9,2,3,0.3,0.4,0.1,0.9,3.9,203461,1,1993-03-14 00:00:00,Forward,20.59,2010s,,0,True Negative
6,ARCHIEGOODWIN2013,Archie Goodwin,Not Inducted,,2013,2016,4,2021,29,OKC,University of Kentucky,52,10.3,3.7,1.5,3.2,45.5,0.1,0.7,13.9,0.7,1.1,67.3,0.5,1.2,1.7,0.4,0.4,0.2,0.8,3.4,203462,1,1994-08-17 00:00:00,Guard,19.16,2010s,,0,True Negative
7,NEMANJANEDOVIC2013,Nemanja Nedovic,Not Inducted,,2013,2013,1,2018,30,PHO,,24,5.9,1.1,0.3,1.6,20.5,0.1,0.8,16.7,0.3,0.3,87.5,0.1,0.5,0.6,0.5,0,0,0.5,0.4,203517,1,1991-06-16 00:00:00,Guard,22.33,2010s,,0,True Negative
8,RAYMCCALLUM2013,Ray McCallum,Not Inducted,,2013,2015,3,2020,36,SAC,University of Detroit Mercy,45,19.9,6.2,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1,74.4,0.4,1.4,1.8,2.7,0.5,0.2,0.9,6.1,203492,2,1991-06-12 00:00:00,Guard,22.34,2010s,,0,True Negative
9,RYANKELLY2013,Ryan Kelly,Not Inducted,,2013,2016,4,2021,48,LAL,Duke University,59,22.2,8,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3,3.7,1.6,0.5,0.8,0.8,9.8,203527,2,1991-04-09 00:00:00,Forward,22.52,2010s,,0,True Negative
10,PEYTONSIVA2013,Peyton Siva,Not Inducted,,2013,2013,1,2018,56,DET,University of Louisville,24,9.3,2.3,0.8,2.4,31.6,0.3,1,28,0.5,0.6,73.3,0.1,0.5,0.6,1.4,0.4,0,0.8,2.1,203491,2,1990-10-24 00:00:00,Guard,22.98,2010s,,0,True Negative
11,THOMASROBINSON2012,Thomas Robinson,Not Inducted,,2012,2016,5,2021,5,SAC,University of Kansas,70,15.1,4.8,2,4.6,43,0,0,0,0.8,1.6,52.3,1.7,2.8,4.5,0.7,0.6,0.4,1.3,6.3,203080,1,1991-03-17 00:00:00,Forward,21.58,2010s,,0,True Negative
12,KENDALLMARSHALL2012,Kendall Marshall,Not Inducted,,2012,2015,4,2020,13,PHO,University of North Carolina,48,14.6,3,1.2,3.1,37.1,0.5,1.5,31.5,0.2,0.3,57.1,0.1,0.8,0.9,3,0.5,0.1,1.2,4.1,203088,1,1991-08-19 00:00:00,Guard,21.16,2010s,,0,True Negative
13,ANDREWNICHOLSON2012,Andrew Nicholson,Not Inducted,,2012,2016,5,2021,19,ORL,St. Bonaventure University,75,16.7,7.8,3.4,6.5,52.7,0,0,0,1,1.3,79.8,0.9,2.5,3.4,0.6,0.3,0.4,1.1,8.2,203094,1,1989-12-08 00:00:00,Forward,22.85,2010s,,0,True Negative
14,JAREDSULLINGER2012,Jared Sullinger,Not Inducted,,2012,2016,5,2021,21,BOS,Ohio State University,45,19.8,6,2.5,5,49.3,0,0.1,20,1,1.4,74.6,2,3.8,5.9,0.8,0.5,0.5,0.6,10.1,203096,1,1992-03-04 00:00:00,Center,20.62,2010s,,0,True Negative
15,TONYWROTEN2012,Tony Wroten,Not Inducted,,2012,2015,4,2020,25,MEM,University of Washington,35,7.8,2.6,0.9,2.5,38.4,0.1,0.5,25,0.6,0.8,72.4,0.4,0.4,0.8,1.2,0.2,0.1,0.8,2.4,203100,1,1993-04-13 00:00:00,Guard,19.51,2010s,,0,True Negative
16,ARNETTMOULTRIE2012,Arnett Moultrie,Not Inducted,,2012,2013,2,2018,27,MIA,Mississippi State University,47,11.5,3.7,1.7,2.9,58.2,0,0,0,0.4,0.6,64.3,1.6,1.5,3.1,0.2,0.4,0.2,0.4,5.8,203102,1,1990-11-18 00:00:00,Forward,21.91,2010s,,0,True Negative
17,ANTHONYFREDERICK1988,Anthony Frederick,Not Inducted,,1988,1991,4,1996,200,,,46,6.8,3.3,1.4,2.7,50.4,0,0.1,40,0.5,0.7,70.6,0.6,0.6,1.1,0.4,0.3,0.1,0.7,3,,10,,,,,,0,True Negative
18,FESTUSEZELI2012,Festus Ezeli,Not Inducted,,2012,2016,5,2021,30,GSW,Vanderbilt University,78,14.4,2.4,0.9,2.2,43.8,0,0,0,0.6,1,53.1,1.8,2.2,4,0.3,0.3,0.9,0.8,5.5,203105,1,1989-10-21 00:00:00,Center,22.98,2010s,,0,True Negative
19,DINORADJA1993,Dino Radja,Hall of Fame Member,2018,1993,1996,4,2001,200,,,80,28.8,15.1,6.1,11.8,52.1,0,0,0,2.8,3.8,75.1,2.4,4.8,7.2,1.4,0.9,0.8,1.9,17,,10,,,,,18,1,True Positive
