,Player,Year,Pick
4545,Joe Barry Carroll,1980,1
4546,Darrell Griffith,1980,2
4547,Kevin McHale,1980,3
4548,Kelvin Ransey,1980,4
4549,James Ray,1980,5
4550,Mike O'Koren,1980,6
4551,Mike Gminski,1980,7
4552,Andrew Toney,1980,8
4553,Michael Brooks,1980,9
4554,Ronnie Lester,1980,10
4555,Kiki Vandeweghe,1980,11
4556,Mike Woodson,1980,12
4557,Rickey Brown,1980,13
4558,Wes Matthews,1980,14
4559,Reggie Johnson,1980,15
4560,Hawkeye Whitney,1980,16
4561,Larry Drew,1980,17
4562,Don Collins,1980,18
4563,John Duren,1980,19
4564,Bill Hanzlik,1980,20
4565,Monti Davis,1980,21
4566,Chad Kinch,1980,22
4567,Carl Nicks,1980,23
4568,Larry Smith,1980,24
4569,Jeff Ruland,1980,25
4570,Sam Worthen,1980,26
4571,John Stroud,1980,27
4572,Craig Shelton,1980,28
4573,Louis Orr,1980,29
4574,Kenny Natt,1980,30
4575,Wayne Robinson,1980,31
4576,David Lawrence,1980,32
4577,Bruce Collins,1980,33
4578,Roosevelt Bouie,1980,34
4579,Rick Mahorn,1980,35
4580,DeWayne Scales,1980,36
4581,Butch Carter,1980,37
4582,Terry Stotts,1980,38
4583,Michael Wiley,1980,39
4584,Dick Miller,1980,40
4585,Jawann Oldham,1980,41
4586,Kimberly Belton,1980,42
4587,Billy Williams,1980,43
4588,Clyde Austin,1980,44
4589,Brad Branson,1980,45
4590,Arnette Hallman,1980,46
4591,Kurt Nimphius,1980,47
4592,Eddie Lee,1980,48
4593,John Virgil,1980,49
4594,James Wilkes,1980,50
4595,Ronnie Valentine,1980,51
4596,Lowes Moore,1980,52
4597,Stuart House,1980,53
4598,Ron Perry,1980,54
4599,Wayne Abrams,1980,55
4600,Mike Harper,1980,56
4601,Dave Britton,1980,57
4602,Kurt Rambis,1980,58
4603,John Campbell,1980,59
4604,Lavon Mercer,1980,60
4605,Rich Yonakor,1980,61
4606,Tony Murphy,1980,62
4607,Al Beal,1980,63
4608,Jonathan Moore,1980,64
4609,Doug TRUE,1980,65
4610,Carl Bailey,1980,66
4611,Reggie Gaines,1980,67
4612,Ron Jones,1980,68
4613,Donald Newman,1980,69
4614,Darwin Cook,1980,70
4615,Robert Scott,1980,71
4616,Alan Taylor,1980,72
4617,Sammie Ellis,1980,73
4618,Ron Charles,1980,74
4619,Rory Sparrow,1980,75
4620,Ed Odom,1980,76
4621,Murray Brown,1980,77
4622,Rich Branning,1980,78
4623,Kelvin Henderson,1980,79
4624,David Johnson,1980,80
4625,Francois Wise,1980,81
4626,Joseph Chmelich,1980,82
4627,Calvin Roberts,1980,83
4628,Dean Hunger,1980,84
4629,Billy Bryant,1980,85
4630,Jeff Wolf,1980,86
4631,Tony Jackson,1980,87
4632,Leroy Stampley,1980,88
4633,Gary Ray Hooker,1980,89
4634,Harold Hubbard,1980,90
4635,Ron Baxter,1980,91
4636,Kevin Hamilton,1980,92
4637,Tony Fuller,1980,93
4638,Wally West,1980,94
4639,Don Carlino,1980,95
4640,Mike Campbell,1980,96
4641,James Patrick,1980,97
4642,Aaron Curry,1980,98
4643,Wally Rank,1980,99
4644,Joe Galvin,1980,100
4645,LaVon Williams,1980,101
4646,Larry Belin,1980,102
4647,Darrell Allums,1980,103
4648,William Carey,1980,104
4649,Daryl Strickland,1980,105
4650,Albert Jones,1980,106
4651,Gib Hinz,1980,107
4652,Kevin Blakley,1980,108
4653,Ken Jones,1980,109
4654,Mike Doyle,1980,110
4655,Mark Stevens,1980,111
4656,Lenny Horton,1980,112
4657,Jim Swaney,1980,113
4658,Rick Raivio,1980,114
